tipo,subtipo,estructura,ejemplo_jp,lectura,hatsuon,significado_es,descripcion_es,pregunta_es,respuesta_correcta_es,opcion_a_es,opcion_b_es,opcion_c_es,opcion_d_es
vocal larga,hiragana: あ + あ,repetición de あ,おばあさん,obaasan,La vocal a se mantiene más tiempo: baa.,abuela,Alargamiento vocálico por repetición de あ.,¿Qué fenómeno aparece en おばあさん?,vocal larga,vocal larga,nasal final,tsu pequeña,dakuten
vocal larga,hiragana: い + い,repetición de い,おじいさん,ojiisan,La vocal i se mantiene más tiempo: jii.,abuelo,Alargamiento vocálico por repetición de い.,¿Qué fenómeno aparece en おじいさん?,vocal larga,nasal final,vocal larga,yōon,tsu pequeña
vocal larga,hiragana: お + う,o + u,おとうさん,otousan,おう se pronuncia como una o larga.,padre,Alargamiento de la vocal o con う.,¿Qué valor tiene おう?,vocal larga,vocal larga,pausa,nasal final,handakuten
vocal larga,hiragana: え + い,e + i,えいが,eiga,えい suele pronunciarse como una e larga.,película,Alargamiento de la vocal e con い.,¿Qué valor tiene えい?,vocal larga,tsu pequeña,vocal larga,nasal final,yōon
vocal larga,katakana: ー,signo ー,コーヒー,koohii,ー alarga la vocal anterior.,café,"En katakana, ー indica vocal larga.",¿Qué indica el signo ー en コーヒー?,vocal larga,vocal larga,nasal final,tsu pequeña,dakuten
vocal larga,katakana: ー,signo ー,スーパー,suupaa,ー mantiene la vocal anterior durante más tiempo.,supermercado,Vocal larga en palabras extranjeras escritas en katakana.,¿Qué indica ー en スーパー?,vocal larga,tsu pequeña,vocal larga,nasal final,yōon
tsu pequeña,hiragana: っ + k,っ + consonante k,がっこう,gakkou,Hay una pausa breve antes de k; se pronuncia kk.,escuela,La っ pequeña indica geminación consonántica.,¿Qué función tiene っ en がっこう?,geminación consonántica,geminación consonántica,vocal larga,nasal final,yōon
tsu pequeña,hiragana: っ + t,っ + consonante t,きって,kitte,Hay una pausa breve antes de t; se pronuncia tt.,sello,La っ pequeña duplica la consonante siguiente.,¿Qué función tiene っ en きって?,geminación consonántica,vocal larga,nasal final,geminación consonántica,dakuten
tsu pequeña,hiragana: っ + s,っ + consonante s,きっさてん,kissaten,Hay una pausa breve antes de s; se pronuncia ss.,cafetería,La っ pequeña antes de さ produce una doble s en la pronunciación.,¿Qué indica っ en きっさてん?,pausa y consonante doble,pausa y consonante doble,vocal larga,nasal final,yōon
tsu pequeña,hiragana: っ + し,っ + し,ざっし,zasshi,Hay una pausa breve antes de し; en romaji aparece como ss.,revista,Caso de tsu pequeña antes de し.,¿Qué indica っ en ざっし?,pausa y consonante doble,pausa y consonante doble,vocal larga,nasal final,handakuten
tsu pequeña,hiragana: っ + ち,っ + ち,たまごっち,tamagotchi,Hay una pausa breve antes de ち; en romaji aparece como tchi.,tamagotchi,Caso de tsu pequeña antes de ち.,¿Qué patrón aparece en たまごっち?,tsu pequeña,nasal final,tsu pequeña,vocal larga,yōon
tsu pequeña,katakana: ッ + k,ッ + consonante k,クッキー,kukkii,Hay una pausa breve antes de k; se pronuncia kk.,galleta,La ッ pequeña indica consonante doble en katakana.,¿Qué función tiene ッ en クッキー?,geminación consonántica,geminación consonántica,vocal larga,nasal final,yōon
tsu pequeña,katakana: ッ + t,ッ + consonante t,バッテリー,batterii,Hay una pausa breve antes de t; se pronuncia tt.,batería,La ッ pequeña duplica la consonante siguiente en katakana.,¿Qué función tiene ッ en バッテリー?,geminación consonántica,vocal larga,nasal final,geminación consonántica,dakuten
tsu pequeña,katakana: ッ + s,ッ + consonante s,メッセージ,messeeji,Hay una pausa breve antes de s; se pronuncia ss.,mensaje,Caso de ッ pequeña antes de s en katakana.,¿Qué indica ッ en メッセージ?,pausa y consonante doble,pausa y consonante doble,vocal larga,nasal final,yōon
tsu pequeña,katakana: ッ + d,ッ + consonante d,ベッド,beddo,Hay una pausa breve antes de d; se pronuncia dd.,cama,Uso de ッ pequeña en katakana.,¿Qué función tiene ッ en ベッド?,geminación consonántica,vocal larga,geminación consonántica,nasal final,yōon
nasal final,hiragana: ん final,ん,ほん,hon,ん representa un sonido nasal.,libro,ん puede aparecer al final o dentro de una palabra.,¿Qué representa ん en ほん?,nasal final,vocal larga,nasal final,tsu pequeña,yōon
nasal final,hiragana: ん interna,ん dentro de palabra,しんぶん,shinbun,ん marca un sonido nasal dentro de la palabra.,periódico,ん puede aparecer más de una vez en una palabra.,¿Qué patrón aparece en しんぶん?,nasal final,nasal final,vocal larga,tsu pequeña,handakuten
nasal final,hiragana: ん final,ん,にほん,nihon,ん marca una nasal al final de la palabra.,Japón,Uso de ん como nasal final.,¿Qué representa ん en にほん?,nasal final,vocal larga,yōon,nasal final,tsu pequeña
nasal final,katakana: ン final,ン,パン,pan,ン representa un sonido nasal en katakana.,pan,ン puede aparecer al final de palabras en katakana.,¿Qué representa ン en パン?,nasal final,vocal larga,nasal final,tsu pequeña,yōon
nasal final,katakana: ン interna,ン dentro de palabra,ペンギン,pengin,ン marca un sonido nasal dentro de la palabra.,pingüino,ン puede aparecer dentro y al final de una palabra en katakana.,¿Qué patrón aparece en ペンギン?,nasal final,nasal final,vocal larga,tsu pequeña,handakuten
nasal final,katakana: ン final,ン,レモン,remon,ン marca una nasal al final de la palabra.,limón,Uso de ン como nasal final en katakana.,¿Qué representa ン en レモン?,nasal final,vocal larga,yōon,nasal final,tsu pequeña
